--------------------------------------------------------------------------------
This is a log file of running processes on machine created using automation script
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'svchost.exe', 'username': None, 'pid': 4540}
{'name': 'igfxEMN.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 4600}
{'name': 'svchost.exe', 'username': None, 'pid': 4632}
{'name': 'NgcIso.exe', 'username': None, 'pid': 4636}
{'name': 'OneDrive.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 4708}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 4720}
{'name': 'svchost.exe', 'username': None, 'pid': 4732}
{'name': 'wlanext.exe', 'username': None, 'pid': 4760}
{'name': 'svchost.exe', 'username': None, 'pid': 4768}
{'name': 'svchost.exe', 'username': None, 'pid': 4932}
{'name': 'armsvc.exe', 'username': None, 'pid': 4940}
{'name': 'AdobeUpdateService.exe', 'username': None, 'pid': 4948}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 4972}
{'name': 'svchost.exe', 'username': None, 'pid': 4980}
{'name': 'svchost.exe', 'username': None, 'pid': 4996}
{'name': 'DAX3API.exe', 'username': None, 'pid': 5012}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 5020}
{'name': 'svchost.exe', 'username': None, 'pid': 5028}
{'name': 'esif_uf.exe', 'username': None, 'pid': 5076}
{'name': 'FMService64.exe', 'username': None, 'pid': 5104}
{'name': 'Lenovo.Modern.ImController.exe', 'username': None, 'pid': 5160}
{'name': 'IntelAudioService.exe', 'username': None, 'pid': 5216}
{'name': 'svchost.exe', 'username': None, 'pid': 5236}
{'name': 'LenovoUtilityService.exe', 'username': None, 'pid': 5280}
{'name': 'LNBITSSvc.exe', 'username': None, 'pid': 5308}
{'name': 'LMS.exe', 'username': None, 'pid': 5332}
{'name': 'VoiceAssistantService.exe', 'username': None, 'pid': 5348}
{'name': 'MpDefenderCoreService.exe', 'username': None, 'pid': 5396}
{'name': 'svchost.exe', 'username': None, 'pid': 5432}
{'name': 'mfemms.exe', 'username': None, 'pid': 5448}
{'name': 'backgroundTaskHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 5456}
{'name': 'svchost.exe', 'username': None, 'pid': 5504}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 5524}
{'name': 'powershell.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 5560}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 5628}
{'name': 'PEFService.exe', 'username': None, 'pid': 5664}
{'name': 'mysqld.exe', 'username': None, 'pid': 5672}
{'name': 'RstMwService.exe', 'username': None, 'pid': 5724}
{'name': 'mongod.exe', 'username': None, 'pid': 5740}
{'name': 'backgroundTaskHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 5776}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 5780}
{'name': 'MonectServerService.exe', 'username': None, 'pid': 5800}
{'name': 'SessionService.exe', 'username': None, 'pid': 5828}
{'name': 'svchost.exe', 'username': None, 'pid': 5856}
{'name': 'UDClientService.exe', 'username': None, 'pid': 5892}
{'name': 'svchost.exe', 'username': None, 'pid': 5904}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 5920}
{'name': 'svchost.exe', 'username': None, 'pid': 6056}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 6076}
{'name': 'msedge.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 6084}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 6104}
{'name': 'svchost.exe', 'username': None, 'pid': 6108}
{'name': 'svchost.exe', 'username': None, 'pid': 6116}
{'name': 'svchost.exe', 'username': None, 'pid': 6124}
{'name': 'wslservice.exe', 'username': None, 'pid': 6148}
{'name': 'WMIRegistrationService.exe', 'username': None, 'pid': 6236}
{'name': 'AppProvisioningPlugin.exe', 'username': None, 'pid': 6588}
{'name': 'DAX3API.exe', 'username': None, 'pid': 6604}
{'name': 'jhi_service.exe', 'username': None, 'pid': 6664}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 6868}
{'name': 'mysqld.exe', 'username': None, 'pid': 7124}
{'name': 'svchost.exe', 'username': None, 'pid': 7216}
{'name': 'conhost.exe', 'username': None, 'pid': 7252}
{'name': 'svchost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 7564}
{'name': 'MMSSHOST.exe', 'username': None, 'pid': 7696}
{'name': 'sourcery.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 7736}
{'name': 'cpptools-srv.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 7796}
{'name': 'mfevtps.exe', 'username': None, 'pid': 7832}
{'name': 'svchost.exe', 'username': None, 'pid': 7840}
{'name': 'browserhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 7940}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 8080}
